ratingId;moduleId;score;grade;voteScore;ups;downs
5d1cb8678a3f6d001ca38cc8;50820164;3;4.50;0;0;0
5db75a951446f8001cf5a0a4;50354580;5;5.75;2;2;0
5d1b724c139930001c20e873;50354580;1;5.00;0;0;0
5c70096fae5e8a001cbb130b;50354580;5;6.00;0;0;0
5d07c3e401e578001ccaf9ae;50354580;5;5.75;0;0;0
5cc9edc10514e8001c74802c;50354580;5;6.00;0;0;0
5cb9c7f8db774d001cc6a845;50354580;5;5.75;0;0;0
5cb6eb2cfde2ef001cb59ff8;50354580;5;6.00;0;0;0
5cb35fa4db1b65001ccb3582;50354580;5;5.75;0;0;0
5cb12da4eb946a001c6d5808;50354580;5;6.00;0;0;0
5cb0b2953de91f001c687685;50354580;5;5.75;0;0;0
5cb0af363de91f001c687622;50354580;5;6.00;0;0;0
5cb0a1333de91f001c6872d1;50354580;5;6.00;0;0;0
5c6d24314da451001c7a22ff;50354580;5;5.50;0;0;0
5c46c967eacac4001cb0638d;50354580;5;5.50;0;0;0
5c4302c86ebd2f001c2c8295;50354580;5;5.00;0;0;0
5c3ee3856f5518001c65441f;50354580;5;5.25;0;0;0
5b75b1d7a9a8d4001a3ca3a1;50354580;4;4.50;0;0;0
5af95ad76c9d91001a11eda0;50354580;5;6.00;0;0;0
5a6a1b411053f0001a853ab4;50354580;4;5.75;0;0;0
5c50c1dfccaaf5001c0b094b;50821473;5;5.25;1;1;0
5c481b68d5cd47001cbd9385;50821473;4;5.00;0;0;0
5cf6592d888ee3001ce4d7ba;50821473;5;4.75;0;0;0
5c488361d5cd47001cbe1d0c;50821473;4;5.25;0;0;0
5d22e5326b30c8001cd5f27d;50431626;3;4.50;-1;0;1
5d31aa90cf3df9001c2e30ed;50431626;5;5.50;0;0;0
5d2b32c778e8cd001cf90f61;50431626;4;5.25;0;0;0
5d2306ea6b30c8001cd624ef;50431626;4;5.25;0;0;0
5d1b3634139930001c209230;50314979;3;4.75;0;0;0
5d161c00642f27001c08e4fc;50314979;4;4.75;0;0;0
5c46c993eacac4001cb063aa;50314979;2;4.25;0;0;0
5b64e239ef9549001a5f76a4;50314979;5;5.25;0;0;0
5b532e74276be0001a84366d;50314979;3;4.25;0;0;0
5abad06959968b001aa3731e;50314979;3;4.50;0;0;0
5d286f9c2a192d001c002e6b;50019527;5;null;1;1;0
5b51f6f7829dc9001a80f149;50019527;4;5.00;3;4;1
5d8346bef2f9e0001c5d1a2d;50019527;4;4.75;0;0;0
5d62d5c4f1361c001c6fe424;50019527;5;3.25;0;0;0
5d4db6df1526f6001cd33817;50019527;4;5.25;0;0;0
5d41d62e267154001c2dee9e;50019527;5;5.25;0;0;0
5d163a1a642f27001c090802;50019527;4;4.75;0;0;0
5d1d09e58a3f6d001ca3d922;50019527;4;4.5;0;0;0
5d1b706b139930001c20e46b;50019527;5;5.5;0;0;0
5d1b5572139930001c20bf23;50019527;3;4.25;0;0;0
5d19cb5320ec37001cbdf28a;50019527;5;5.00;0;0;0
5d162c04642f27001c08f922;50019527;5;6;0;0;0
5d161a7f642f27001c08e288;50019527;5;5;0;0;0
5cf3c8db2933cb001c7b10a9;50019527;5;5.75;0;0;0
5cc2a4e7c9ea6b001ca23490;50019527;4;4.75;0;0;0
5c5810cabe474e001c2cfbc3;50019527;5;5.25;0;0;0
5c52b55898a84a001c651387;50019527;5;5.25;0;0;0
5c41b87af6bb49001c6f0ca8;50019527;3;4.75;0;0;0
5c41b187f6bb49001c6f0273;50019527;3;4.75;0;0;0
5c35d089740696001cd9c13e;50019527;5;5.00;0;0;0
5c20cb559ae34e001ccfe068;50019527;2;5.75;0;0;0
5b9238a521bc88001aab4a71;50019527;4;4.25;0;0;0
5d67d3c1824f1e001c34baa1;50030855;3;5.50;0;0;0
5d5331ede8728a001c44995c;50030855;5;5.00;0;0;0
5d2263976b30c8001cd5d402;50030855;1;4.25;0;0;0
5d1b2934139930001c207e42;50030855;2;4.50;2;3;1
5d189befb62371001c95e4a2;50030855;3;5.25;1;1;0
5d171ab3996aef001ce00c3a;50030855;4;6.00;5;5;0
5d15d142642f27001c087f61;50030855;3;5.00;0;0;0
5ced72593cc130001c497355;50030855;1;4.75;31;34;3
5d138c21994651001c038044;50030855;3;5.50;-1;0;1
5d11d6def319ef001c79581d;50030855;4;5.00;7;7;0
5d116ee45ed105001cc5f8bc;50030855;5;4.00;8;9;1
5ba12cc376cbee0019f1941c;50030855;1;4.50;6;10;4
5d1124aadde843001c2f7752;50030855;4;5.50;2;2;0
5d1106a7dde843001c2f5c38;50030855;3;5.00;1;2;1
5d10e9e0dde843001c2f2f67;50030855;3;5.25;0;0;0
5d10fbeedde843001c2f506a;50030855;2;4.75;0;0;0
5d10f73ddde843001c2f4a86;50030855;4;6.00;4;7;3
5d10e7f8dde843001c2f2bc2;50030855;1;3.75;0;1;1
5d03631a452355001c7eb2b6;50030855;5;null;1;2;1
5cf5745b608ff5001c67cc50;50030855;4;5.75;0;0;0
5c99e9ee069277001c8bd6a7;50030855;4;4.75;-2;1;3
5c6a934b0f0ace001c39512e;50030855;3;4.50;0;1;1
5c4dc38bddd2d4001c1c3ef3;50030855;4;6.00;0;1;1
5c497df5aaf8a6001c77241f;50030855;2;4.75;0;2;2
5c42390e6ebd2f001c2c406a;50030855;5;4.00;-1;3;4
5b7f2abfffbde0001a9ea8df;50030855;4;5.50;1;4;3
5c3778b434e682001c341210;50030855;3;4.50;-2;0;2
5c3602460d6b09001caa5ba6;50030855;4;4.75;5;7;2
5c276a19083b0a001c835604;50030855;4;4.75;0;2;2
5b24edb01c20fc001aa0f859;50030855;3;5.25;11;13;2
5b4c64ed36ebdc001a7112a4;50030855;1;4.50;2;4;2
5b2b87549d2efb001abb29eb;50030855;1;4.75;1;4;3
5b257fdafa9409001a490dcc;50030855;5;5.00;8;10;2
5b2424371c20fc001aa0ad06;50030855;4;4.75;7;12;5
5b229fa8f83426001ada157d;50030855;3;4.00;2;3;1
5b229cc1f83426001ada10fe;50030855;1;6.00;6;7;1
5b229c80f83426001ada1055;50030855;2;5.75;4;4;0
5b2268d3f83426001ad9a3c6;50030855;1;4.00;6;7;1
5d10c6b2dde843001c2ef9e9;50834703;4;5.50;0;0;0
5d47645bfad9ab001cbfbcfa;50834703;5;6.00;0;0;0
5d132d7d994651001c02f971;50834703;4;6.00;0;0;0
5b706508b8f62d001ac43125;50662146;4;6.00;0;0;0
5d03bd59452355001c7f5c1e;50923128;4;5.50;0;0;0
5d1b199e139930001c2066d2;50923128;5;5.50;0;0;0
5d1362ab994651001c034571;50923128;3;5.00;0;0;0
5d134c08994651001c032726;50923128;4;5.50;0;0;0
5d5d391931a6d7001c37b21c;50357468;2;5.25;0;0;0
5d18fdefb62371001c9611e1;50357468;5;5.75;0;0;0
5b9d5dacef31ab0019523b06;50357468;5;5.00;0;0;0
5b706527b8f62d001ac43131;50357468;4;5.75;0;0;0
5d03bc45452355001c7f59fa;50590918;5;4.75;0;1;1
5d11e291f319ef001c7967a0;50590918;3;4.00;0;0;0
5ba17f7d64ef510019421bb2;50590918;5;5.50;0;0;0
5b314a4d6f5508001adb12e3;50590918;4;5.00;0;0;0
5a806c856d91ee001aaf32da;50590918;5;5.25;0;0;0
5d1f053d6cf972001c80d40f;50938958;5;5.75;0;0;0
5d755c90b9dc6f001ca2a732;50308238;2;null;0;0;0
5d5d352131a6d7001c37b0f8;50308238;4;3.75;0;0;0
5d015e8514b0c6001c9e20e5;50873090;5;6.00;0;0;0
5d297c9a041f0f001c839bd0;50873090;5;5.50;0;0;0
5d19c35720ec37001cbde46f;50873090;3;5.00;0;0;0
5d079ce601e578001ccaaf8a;50873090;1;null;0;0;0
5b31f3b46f5508001adb67c8;50873090;3;5.75;0;0;0
5b343ed7691408001a9e3c98;50873090;3;5.25;0;0;0
5cff78b49eda03001ce0290b;50461417;5;5.25;1;1;0
5b23c0ef1c20fc001aa04755;50461417;4;4.50;0;0;0
5d07c3a501e578001ccaf921;50461417;1;5.00;0;0;0
5d04e1b597cd24001cfc64d9;50461417;4;5.50;0;0;0
5d0007738aa9a0001ce26c95;50461417;3;6.00;0;0;0
5cfb88f6b8fd9b001c2cf4ce;50461417;4;5.50;0;0;0
5cea704de0df59001c722e43;50461417;4;5.25;0;0;0
5ce7b7813552af001c7ffd74;50461417;1;4.75;0;0;0
5ce59526b237ae001cfae476;50461417;3;4.50;0;0;0
5beafec43e5798001bc8b378;50461417;4;5.50;0;0;0
5b3effd897a0c7001a89418b;50461417;4;5.00;0;0;0
5b28b358cc3364001a31d297;50461417;2;5.00;0;0;0
5a8e849f31280b001a9fd56f;50461417;5;4.75;0;0;0
5d0b332218d258001cadbfb9;50873018;5;5.50;2;2;0
5b4ca2643dcc0e001ab24837;50873018;4;5.25;5;5;0
5d6050ea5f93fe001c89f13f;50873018;5;5.50;0;0;0
5d26491d414cb8001c72d103;50873018;5;5.75;0;0;0
5c4f4e8dab563b001c4c99a5;50873018;4;5.00;0;0;0
5c46c94beacac4001cb06376;50873018;5;5.75;0;0;0
5b9a56f23e04df001ac579bf;50873018;5;6.00;0;0;0
5b871131fff498001aeac7a4;50873018;3;4.00;0;0;0
5b544e845a7ff3001a4642f2;50873018;3;4.50;0;0;0
